"Account Type","ประเภทบัญชี"
"Account login","เข้าสู่ระบบบัญชี"
"Account password","รหัสผ่านของบัญชี"
"Active","ใช้งาน"
"Add Attribute Mapping","เพิ่มคุณลักษณะ Mapping"
"Add New Attribute","เพิ่มคุณลักษณะใหม่"
"Add to Google Base","เพิ่มไปยัง Google Base"
"Are you sure?","คุณแน่ใจ?"
"Attribute","คุณลักษณะ"
"Attribute Set","คุณลักษณะชุด"
"Attribute Set and Item Type","คุณลักษณะชุดและประเภทรายการ"
"Attributes","คุณลักษณะ"
"Attributes Set","คุณลักษณะชุด"
"Attributes mapping","คุณลักษณะ mapping"
"AuthSub","AuthSub"
"Available Products","มีสินค้า"
"British Pound Sterling","ปอนด์สเตอร์ลิงอังกฤษ"
"Cannot update Google Base Item for Store '%s'","ไม่สามารถอัปเดตรายการของ Google Base สำหรับจัดเก็บ   '%s'"
"Captcha confirmation error: %s","ยืนยัน Captcha ผิดพลาด: %s"
"Captcha confirmed successfully","ยืนยัน Captcha สำเร็จ"
"Clicks","คลิก"
"ClientLogin","ClientLogin"
"Confirm","ยืนยัน"
"Current Mapping will be reloaded. Continue?","ปัจจุบัน Mapping จะ reloaded. ดำเนินการต่อ?"
"Custom attribute, no mapping","Custom attribute, no mapping"
"Delete","ลบ"
"Delete Mapping","ลบ Mapping"
"Edit Item Type","แก้ไขประเภทรายการ"
"Edit Item Type ""%s""","แก้ไขประเภทรายการ ""%s"""
"Error: %s","ผิดพลาด: %s"
"Euro","ยูโร"
"Expires","หมดอายุ"
"Germany","เยอรมนี"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base Attribute"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Item Type"
"Google Base Item type","Google Base Item type"
"Google Base Items","Google Base Items"
"Hide","ซ่อน"
"Hosted","Hosted"
"Hosted or Google","Hosted or Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","โมเดลสินค้าไม่ถูกต้องสำหรับรายการ Google Base"
"Item Type was deleted","ลบประเภทรายการแล้ว"
"Item Types","ประเภทรายการ"
"Item model is not specified to delete Google Base entry","รายการโมเดลไม่ได้ระบุไปยังรายการลบ Google Base"
"Item type was successfully saved","บันทึกประเภทรายการเรียบร้อยแล้ว"
"Items","รายการ"
"Manage Attribute Mapping","จัดการคุณลักษณะ Mapping"
"Manage Attributes","จัดการคุณลักษณะ"
"Manage Items","จัดการรายการ"
"New Item Type","ประเภทรายการใหม่"
"No","ไม่"
"No items were deleted from Google Base","ไม่มีรายการที่ถูกลบออกจาก Google Base"
"No items were published","ไม่มีรายการที่มีการเผยแพร่"
"No items were saved as Inactive items","ไม่มีรายการที่ถูกบันทึกเป็นรายการที่ไม่ใช้งาน"
"No products were added to Google Base","ไม่มีสินค้าถูกเพิ่มไปยัง Google Base"
"Object model is not specified to save Google Base entry","โมเดล Object ไม่ได้ระบุเพื่อบันทึกรายการ Google Base"
"Page views","การชมหน้าเว็บ"
"Please, select Attribute Set and Google Item Type to load attributes","กรุณา, เลือกชุดคุณลักษณะ และประเภทรายการ Google เพื่อโหลดคุณลักษณะ"
"Product Name","ชื่อสินค้า"
"Publish","เผยแพร่"
"Published","เผยแพร่"
"Remove","เอาออก"
"Save Mapping","บันทึก Mapping"
"Synchronize","ตรงกัน"
"Target Country","Target Country"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","การทำงานนี้จะปรับปรุงรายการสถิติและลบรายการที่ไม่สามารถใช้ได้ใน Google Base. ดำเนินการต่อหรือไม่"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","จำนวนอ %d รายการ,ลบสำเร็จ จำนวน %d รายการ ปรับปรุงสำเร็จ"
"Total of %d items(s) were successfully published","จำนวน% d รายการ เผยแพร่สำเร็จ"
"Total of %d items(s) were successfully removed from Google Base","จำนวน %d รายการเอาออกจาก Google Base สำเร็จ"
"Total of %d items(s) were successfully saved as Inactive items","จำนวน %d รายการ ประสบความสำเร็จในการบันทึกเป็นรายการที่ไม่ใช้งาน"
"Total of %d product(s) were successfully added to Google Base","จำนวน  %d สินค้า เพิ่มไปยัง Google Base สำเร็จ"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","ไม่สามารถเชื่อมต่อไปยัง Google Base. กรุณาตรวจสอบการตั้งค่าบัญชีผู้ใช้ในการกำหนดค่า."
"Unable to select a Store View","ไม่สามารถเลือกมุมมองร้านค้า"
"United Kingdom","สหราชอาณาจักร"
"United States","สหรัฐอเมริกา"
"Update Google Base item when product is updated","ปรับปรุงรายการของ Google Base เมื่อมีการอัปเดตสินค้า"
"View Available Products","ดูสินค้าที่มีอยู่"
"View Item in Google Base","ดูรายการใน Google Base"
"Yes","ใช่"
