"--Select--","--เลือก--"
"Add New Option","เพิ่มตัวเลือกใหม่"
"Add Selection","เพิ่มตัวเลือก"
"As low as",""
"Bundle Items","กลุ่มรายการ"
"Bundle Product","กลุ่มสินค้า"
"Buy %1$s with %2$s discount each","ซื้อ %1$s กับ %2$s รับส่วนลดแต่ละอัน"
"Checkbox","Checkbox"
"Choose a selection...","กรุณาเลือกตัวเลือก.."
"Close","ปิด"
"Default","ค่าเริ่มต้น"
"Default Qty","จำนวนเริ่มต้น"
"Default Title","หัวข้อเริ่มต้น"
"Drop-down","Drop-down"
"Dynamic","Dynamic"
"Excl. Tax","ยกเว้น. ภาษี"
"Fixed","คงที่"
"From","จาก"
"From:","จาก:"
"Gift Message","Gift Message"
"Incl. Tax","รวม. ภาษี"
"Input Type","ใส่ประเภท"
"Is Required","ต้องการ"
"Message:","ข้อความ:"
"Multiple Select","หลายตัวเลือก"
"N/A","N/A"
"No options of this product are available.","ไม่มีตัวเลือกของสินค้านี้อยู่."
"None","ไม่"
"Percent","เปอร์เซ็นต์"
"Percent Discount","เปอร์เซ็นต์ส่วนลด"
"Please enter search conditions to view products.","กรุณาใส่เงื่อนไขการค้นหาเพื่อดูสินค้า."
"Please select options for product.","กรุณาเลือกตัวเลือกสำหรับสินค้า."
"Please select products to add","กรุณาเลือกสินค้าเพื่อเพิ่ม"
"Please specify product option(s)","กรุณาระบุตัวเลือกสินค้า"
"Position","ตำแหน่ง"
"Price Range","ลำดับราคา"
"Price Type","ประเภทราคา"
"Price as configured","ราคาปรับปรุง"
"Qty:","จำนวน:"
"Radio Buttons","Radio Buttons"
"Required options not selected.","ต้องการตัวเลือกที่ยังไม่เลือก."
"Selected required options not available.","เลือกความต้องการตัวเลือกที่ไม่มีอยู่."
"Separately","แบ่งแยก"
"Ship Bundle Items","ข้ามรายการ Bundle"
"Shipment","การส่งสินค้า"
"Store View Title","หัวข้อมุมมองร้า้นค้า"
"There is no defined renderer for ""%s"" option type","ยังไม่ได้กำหนดการส่งคืนสำหรับประเภทตัวเลือก ""%s"" "
"This product is also part of bundle(s)","สินค้านี้เป็นชิ้นส่วนประกอบในการ  bundle(s)"
"To","ถึง"
"To:","ถึง:"
"Together","ร่วมกัน"
"User Defined Qty","ผู้ใช้กำหนดจำนวน"
